"Txhash","Blockno","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x5ea0e2ac7388e919e30d4e6cc0cf01000ddd2d51751bc907ba0a293b497cf42c","28507334","1681016019","2023-04-09 04:53:39","0xc57451e87076814cc6e0167247b95cc8e61d1a00","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","55.738192","$55.82","0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","USD Coin","USDC",""
"0x5ea0e2ac7388e919e30d4e6cc0cf01000ddd2d51751bc907ba0a293b497cf42c","28507334","1681016019","2023-04-09 04:53:39","0xbebf759fc15bc07e5b8abad6ed931e2f945931a8","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","23.177083","$23.21","0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","USD Coin","USDC",""
"0xf298fd6bccb323bca69476181853d0107d811fd368d50b03066c26a210764d4e","28528084","1681057787","2023-04-09 16:29:47","0x81a3e5dd8be2a21b99ae623b9b1adb6113544746","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.000924","$0.00","0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","USD Coin","USDC",""
"0xfd74904ecfda33e4ab5a04e5f1a33ed5f86483667ead21bdd3c07f805468cbdb","28528088","1681057795","2023-04-09 16:29:55","0x706702ddc1dbd00eaaddc918dfdf536505fb1993","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.009088","$0.01","0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","USD Coin","USDC",""
"0xfd74904ecfda33e4ab5a04e5f1a33ed5f86483667ead21bdd3c07f805468cbdb","28528088","1681057795","2023-04-09 16:29:55","0x8ee97a04603c51011d45ba1fcf5762f9eafe96ac","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.211089","$0.21","0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","USD Coin","USDC",""
"0xfd74904ecfda33e4ab5a04e5f1a33ed5f86483667ead21bdd3c07f805468cbdb","28528088","1681057795","2023-04-09 16:29:55","0x0d6dd40eae5bf9d8d64a4b246015b4425917c2b7","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.2897","$0.29","0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","USD Coin","USDC",""
"0xc82870d90d0ae885b5fb434cb0c06e4f0c07ba803a468851cf600a0cbdde9a16","28551222","1681104673","2023-04-10 05:31:13","0x2abfc65e28cb29e68e140332fa6e06fcf37fa506","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","95.900073","$96.08","0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7","TetherToken","USDt",""
"0x9d4ef2ab0fffbd9d58f380a7a7f5681c7426a9381f670de322489587448df7e3","28606845","1681216942","2023-04-11 12:42:22","0x52539ea869f7162bc18f9c3c2db595f2cd69f63b","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","32.466746","$32.52","0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","USD Coin","USDC",""
"0x09ddfd47fb0a0365d3e0450de14c776f0da068738435ee7c1f0c46d56be25082","28621480","1681246452","2023-04-11 20:54:12","0xad6cee674193faefe82b72e45f45a91ee8d89ce1","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","5.98474","$5.99","0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","USD Coin","USDC",""
"0xc8784a5fd74d239a67317c72eb84a0cef14734e557f3ad082ff86bb56c7bbed7","28654165","1681312295","2023-04-12 15:11:35","0xc2b17d1466ffbdd4113fddee14883cf390aea993","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.01","$0.01","0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","USD Coin","USDC",""
"0x9cc34d1f367bba529f0de7a2821e9385d25bda01b63ff6c4a82d4d15b4c4dd2e","28659591","1681323128","2023-04-12 18:12:08","0x6fbac09b783a2c681314e60ae4f41f7abc6a0afa","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","19.979999","$19.99","0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","USD Coin","USDC",""
