"Txhash","Blockno","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0xb3d0fac6c19a3d0093fae0ae0855cda90c50e9c09bb1e250ba692d1910d40b1f","17008315","1681013591","2023-04-09 04:13:11","0x1e3c382f6bf183244abb21020de45ac736d15d57","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","12,065.829660088021418809","N/A","0x0f2d719407fdbeff09d87557abb7232601fd9f29","Synapse","SYN",""
"0xb3d0fac6c19a3d0093fae0ae0855cda90c50e9c09bb1e250ba692d1910d40b1f","17008315","1681013591","2023-04-09 04:13:11","0x7c29db3b645410413f9d59d54c9ace1da66ce3aa","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","80","N/A","0x767fe9edc9e0df98e07454847909b5e959d7ca0e","Illuvium","ILV",""
"0x4af4819340c15b162fc35b698dd60c0ddee66e71eb29a73a17a4a6954a2e336d","17008319","1681013639","2023-04-09 04:13:59","0xbc2f3873cd6650474d7153f3ecc0a4ac23968fff","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","10,023.479226719630887604","N/A","0xe60779cc1b2c1d0580611c526a8df0e3f870ec48","unshETHing_Token","USH",""
"0x4af4819340c15b162fc35b698dd60c0ddee66e71eb29a73a17a4a6954a2e336d","17008319","1681013639","2023-04-09 04:13:59","0x7952a71eb021d7d138cd459b75700d28844950a8","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","1,500,000","N/A","0x4c3a8eceb656ec63eae80a4ebd565e4887db6160","Soku","SOKU",""
"0x4af4819340c15b162fc35b698dd60c0ddee66e71eb29a73a17a4a6954a2e336d","17008319","1681013639","2023-04-09 04:13:59","0xfb1ae6a0b2fcec7cd3b4f741b9191bc305d99856","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.13","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x4af4819340c15b162fc35b698dd60c0ddee66e71eb29a73a17a4a6954a2e336d","17008319","1681013639","2023-04-09 04:13:59","0xfd0d28b9f1cf7bed6b9cf543976c58929d747f1c","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","10,000","N/A","0x25f8087ead173b73d6e8b84329989a8eea16cf73","Yield Guild Games Token","YGG",""
"0x5ef88bd1bd2c23dc484df8f5d0f1ffb3f5821fcff79ba49529011800bb9a5c2d","17008324","1681013699","2023-04-09 04:14:59","0xf78ef3831f42f36402a7c17436b8a32c3ee7ded1","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.87179","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0x5ef88bd1bd2c23dc484df8f5d0f1ffb3f5821fcff79ba49529011800bb9a5c2d","17008324","1681013699","2023-04-09 04:14:59","0x00dbb60ce71242f2512063dd5fbd26faaec43e33","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","2,263.658992","N/A","0x76bc677d444f1e9d57daf5187ee2b7dc852745ae","Offshift","XFT",""
"0xf7ce5694d0712257ce1e31a951f11b6abdfb5af903d50a32f4facb5c6b679fcf","17008328","1681013747","2023-04-09 04:15:47","0x07fd39294ce1062d84a0b4c1281d22b34dddb1a0","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","400","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x13630dd8b70d44e948bf82fe7e5565d0af1cd015220c51cee4f0a1e4cc2c871b","17008356","1681014095","2023-04-09 04:21:35","0xe18392077885913818da08ef5889a2b6aaf63ccc","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.0877825","N/A","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH",""
