"Txhash","Blockno","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x95e44235411c46814d43bdac0cdcbec3a3945bcd443ffaf2f0bd6adc8e0c148e","59455595","1681017906","2023-04-09 05:25:06","0x4be5ecc076c7db235b97264d480dcc9c1a57dc7b","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","1,922.446029","$1,925.16","0x04068da6c83afcfa0e13ba15a6696662335d5b75","USD Coin","USDC",""
"0x95e44235411c46814d43bdac0cdcbec3a3945bcd443ffaf2f0bd6adc8e0c148e","59455595","1681017906","2023-04-09 05:25:06","0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","990.062494","$991.46","0x04068da6c83afcfa0e13ba15a6696662335d5b75","USD Coin","USDC",""
"0x95e44235411c46814d43bdac0cdcbec3a3945bcd443ffaf2f0bd6adc8e0c148e","59455595","1681017906","2023-04-09 05:25:06","0xe7f23915674b56678a1963ab3321303d196a3fa6","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","159.449284","$159.67","0x04068da6c83afcfa0e13ba15a6696662335d5b75","USD Coin","USDC",""
"0x95e44235411c46814d43bdac0cdcbec3a3945bcd443ffaf2f0bd6adc8e0c148e","59455595","1681017906","2023-04-09 05:25:06","0x5a01179f3641fdad8e3ce238311eda1e028f5ce8","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","190.07484455532963551","$86.19","0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83","Wrapped Fantom","WFTM",""
"0x1c402d82bed48057e20b264468dc974c98ba5ed4f0fc920f001708db48e84614","59455600","1681017915","2023-04-09 05:25:15","0x46d963a229caf05ff4afc14b1b35105ab777e846","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","48.687822","$48.76","0x04068da6c83afcfa0e13ba15a6696662335d5b75","USD Coin","USDC",""
"0x1c402d82bed48057e20b264468dc974c98ba5ed4f0fc920f001708db48e84614","59455600","1681017915","2023-04-09 05:25:15","0xa61f623f3bd38a18a218b5e02940c5eaf39c0004","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","45.901058","$45.97","0x04068da6c83afcfa0e13ba15a6696662335d5b75","USD Coin","USDC",""
"0x99c8781ed2b3a7563eb0446f33da6700714210f9c753d9f4bdb3679cabc2823f","59493214","1681057806","2023-04-09 16:30:06","0x394b67c6bc05abb14c73a57706dcd5cb85231c4e","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","0.000001","$0.00","0x04068da6c83afcfa0e13ba15a6696662335d5b75","USD Coin","USDC",""
"0xc817f99d43ff6997aa82cb5795c15333b57258a336fe1c5607511d0226c356b1","59493222","1681057817","2023-04-09 16:30:17","0xc16c5648f7ea48be52e597f818b50124cd6199a2","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","0.000004560231610529","$0.01","0x74b23882a30290451a17c44f4f05243b6b58c76d","Ethereum","ETH",""
"0x3c3c01b531c600dbc4d24ce5fafa541ea9a4ad5b4dc2197c24efb8e627ef8bf8","59493603","1681058264","2023-04-09 16:37:44","0x7edcf935ce69e992ea27fe5d3f3b720a902f526a","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","302.756114762819303111","$0.24","0x468003b688943977e6130f4f68f23aad939a1040","Spell Token","SPELL",""
"0x1447dbf8f13103c47da003bb46ae804a17af1b88ea376519f08ea44b20482a0b","59493616","1681058275","2023-04-09 16:37:55","0xc16c5648f7ea48be52e597f818b50124cd6199a2","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","0.00000029","$0.01","0x321162cd933e2be498cd2267a90534a804051b11","Bitcoin","BTC",""
"0x5c25d7d1674a38d21e09f3be77f1831dbdf77e0324d414ee02c82b7850029cb7","59547392","1681120091","2023-04-10 09:48:11","0x36c0ade75d82190504a01827d2ac5a42ce43417a","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","0.9994","$1.00","0x04068da6c83afcfa0e13ba15a6696662335d5b75","USD Coin","USDC",""
"0x9e1c889ec9dcb57638d0f61c81a3279ee079a41f0926857a0c8a08ed8aca6a89","60149030","1681740961","2023-04-17 14:16:01","0xa6d7d0e650aa40ffa42d845a354c12c2bc0ab15f","0x164f82ae0261ad2ad5f99b7a01d5fb80d4acc963","19,332","N/A","0x534c7fb5607251e1927b17fbc4d22ba818e197bc","HEXPool.io","wHEX",""
