"Txhash","Blockno","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x2af44053c1ca363971f5adea49255c5171982164936bf85083d967eda63ad6eb","5142917","1681060728","2023-04-09 17:18:48","0x87257f4919eed021f240a9b130d2558ec0115556","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.322019","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
"0x05ef33b7e7e54401121b71d8be4795f3c7c6af99af867b98b26d49bbb269e8e4","5143254","1681060880","2023-04-09 17:21:20","0x90927e80b6c37e6e8905d179bb2acf8feb902f03","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.016668","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
"0x61baf290cf9d33bb930f6a327294ca5226c790b1e1e4cd566071c67a18eaa107","5143308","1681060901","2023-04-09 17:21:41","0x55c7fe832626839c32f3d30bb6537d53a06722cc","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.161987","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
"0x983adac92f9ac29d99d3d49191058854d53b320b2f790078caf9b70b5340fdfa","5143362","1681060920","2023-04-09 17:22:00","0xa9080708f0a07441c8ce7b2ab618c4c5b611c084","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.07301","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
"0xb3375907c374c96ad608cf429b61daa851bbaa81cb95c17dcfd8f81bfe562a2c","5169753","1681076888","2023-04-09 21:48:08","0xb3a4e8ade7ee18ca770cbfb61cc8b2a5b75c9fa9","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.482497","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
"0xeef8853620bf58b483802296b6cf71a34e11d81c25aec78e51f700651f6fe02e","5173036","1681080866","2023-04-09 22:54:26","0x3ee42d76d92e62839ec3638600da4dbd43e11e1f","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.563532","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
"0x22e748d83f6c605ad20a441ec79f363344bc6c61ffa6a88ea0fa36f0172c4d98","5195301","1681111147","2023-04-10 07:19:07","0x422125476a8b5c696a0866c31c7d65a53d551c38","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","17.997146","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
"0xe347fe25a70026374ea2a16f82a19fde74a77e7a4e156baf3059640fe0e3beb0","5196322","1681111630","2023-04-10 07:27:10","0x422125476a8b5c696a0866c31c7d65a53d551c38","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.181964","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
"0xe3afb27a1e7bff239996018feeed596a71a5dd87f2220f39a0387238e0b6703b","5196517","1681111730","2023-04-10 07:28:50","0x422125476a8b5c696a0866c31c7d65a53d551c38","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.370695","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
"0x349b6bfcb160041140afdddc1c1956c75957b9bfb7c93a2e74604e0ecd1de38f","5243773","1681136387","2023-04-10 14:19:47","0x14448debb3ceb52334c14bc615761c55fb1c50db","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","12.986976","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
"0x9bd5c4882853dfaf19087b89bcbb12a309466cb6e2aac401b672fa42396b0134","5244124","1681136662","2023-04-10 14:24:22","0x14448debb3ceb52334c14bc615761c55fb1c50db","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","14.842156","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
"0x2f98b6238ca492801b6c6a8c7fe693b8baafa602a9069c6303ab3e5c782663ef","5247000","1681138748","2023-04-10 14:59:08","0x14448debb3ceb52334c14bc615761c55fb1c50db","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.18532","N/A","0x750ba8b76187092b0d1e87e28daaf484d1b5273b","USD Coin","USDC",""
