"Txhash","Blockno","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0xa5e7d998498894be66e5f8613c0945ae0339f94b50882d4b71a75427e791ce0c","41316309","1681016205","2023-04-09 04:56:45","0xc002876816e2a8e4f2d6ec283bae2de8d05b427a","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","12.678525","$23,499.99","0x7ceb23fd6bc0add59e62ac25578270cff1b9f619","Wrapped Ether","WETH",""
"0xa5e7d998498894be66e5f8613c0945ae0339f94b50882d4b71a75427e791ce0c","41316309","1681016205","2023-04-09 04:56:45","0x4fc2aba367e273740258fd670761f1bd16f463f7","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","7.625785003334307315","$14,134.60","0x7ceb23fd6bc0add59e62ac25578270cff1b9f619","Wrapped Ether","WETH",""
"0xa5e7d998498894be66e5f8613c0945ae0339f94b50882d4b71a75427e791ce0c","41316309","1681016205","2023-04-09 04:56:45","0x63e6c569e556cdcd570ec0adbd9dd5f09c45d19b","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","3,096.61535455875252738","$3,095.88","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xa5e7d998498894be66e5f8613c0945ae0339f94b50882d4b71a75427e791ce0c","41316309","1681016205","2023-04-09 04:56:45","0x0c85cfca1944ec4aa935b573f326b030361f2ce0","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","1,600","$1,602.26","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0xc0d2d18c3089830b9bd9d718bf86ce31e147604f93d811d34c2106dba6d366bc","41316313","1681016213","2023-04-09 04:56:53","0x614d4cb5887034f17720d5b8dc28c1f2fb7459d3","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","74,447.136528737568304826","$1,037.33","0x34667ed7c36cbbbf2d5d5c5c8d6eb76a094edb9f","GenomesDAO (PoS)","GENE",""
"0xc0d2d18c3089830b9bd9d718bf86ce31e147604f93d811d34c2106dba6d366bc","41316313","1681016213","2023-04-09 04:56:53","0xf1e1845f0b01a6184b1d25b83ef1aca8fac5d372","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","950","$951.10","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0xc0d2d18c3089830b9bd9d718bf86ce31e147604f93d811d34c2106dba6d366bc","41316313","1681016213","2023-04-09 04:56:53","0x5165bcd135c151708aac4661bba7915ddd8d192b","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","833.243156","$834.42","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0xc0d2d18c3089830b9bd9d718bf86ce31e147604f93d811d34c2106dba6d366bc","41316313","1681016213","2023-04-09 04:56:53","0x648bdc3784cda3ee007d7030a274a3ee2ce32b6a","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","50,137.950415851295420566","$698.61","0x34667ed7c36cbbbf2d5d5c5c8d6eb76a094edb9f","GenomesDAO (PoS)","GENE",""
"0xc0d2d18c3089830b9bd9d718bf86ce31e147604f93d811d34c2106dba6d366bc","41316313","1681016213","2023-04-09 04:56:53","0x5c03e7dc2399f2646640b0bcdfcd135e1798623b","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","578.613047","$579.28","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x0de5ec1617c7d11349ca31cc1be8476d5f1eca92e12accc9648d8b659b5535cc","41316317","1681016221","2023-04-09 04:57:01","0x5aa99d6fb11efff22be677f276cb5b880dce2080","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","518.929007","$519.66","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x0de5ec1617c7d11349ca31cc1be8476d5f1eca92e12accc9648d8b659b5535cc","41316317","1681016221","2023-04-09 04:57:01","0x2f8d0119e84c3820128c049cc4dbf7f3bee1be30","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","514.038665","$514.76","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x0de5ec1617c7d11349ca31cc1be8476d5f1eca92e12accc9648d8b659b5535cc","41316317","1681016221","2023-04-09 04:57:01","0x4708ffe39445fbb9cc1cb76906f2c38691d0dc22","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","1,000","N/A","0x6e8a8726639d12935b3219892155520bdc57366b","GenomesDAO Governance (PoS)","GNOME",""
"0x0de5ec1617c7d11349ca31cc1be8476d5f1eca92e12accc9648d8b659b5535cc","41316317","1681016221","2023-04-09 04:57:01","0x7d64e59464430bff5ca2d2d4a9643ca59e66bda9","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","360.185399","$360.69","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x0de5ec1617c7d11349ca31cc1be8476d5f1eca92e12accc9648d8b659b5535cc","41316317","1681016221","2023-04-09 04:57:01","0x39c6f8e49f867f701a38737270f43551225d8e0e","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","240","$239.94","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x753a49925c968fa59e3cc0e2d597da5e21ae0ecd942f90b444961bfb6da45736","41316321","1681016231","2023-04-09 04:57:11","0x4391d79373675ef2c44f2aa83c25bd15e5f66887","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","238.702038","$238.98","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x753a49925c968fa59e3cc0e2d597da5e21ae0ecd942f90b444961bfb6da45736","41316321","1681016231","2023-04-09 04:57:11","0x03fed09a02c73747e62eacd8119fabae7ac16923","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","30.739872365788744435","$218.80","0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39","ChainLink Token","LINK",""
